Firstname          ,Lastname        ,SessionDate ,TimeRange     ,Participant ,LOC   ,SOC   ,Chairs ,Organisation                                                     ,Country      ,Title                                                                                                                                                                                          , ,Abstract
Joe                ,Williams        ,2026-03-19  ,10:15 - 10:40 ,True        ,False ,False ,False  ,University of Exeter                                             ,UK           ,Building Planetesimals Around (Sub-)Solar Stars: from Cloud Collapse to Disc                                                                                                                   , ,
Wenrui             ,Xu              ,            ,              ,True        ,False ,False ,False  ,N/A                                                              ,N/A          ,N/A                                                                                                                                                                                            , ,
Ziyan              ,Xu              ,2026-03-18  ,10:15 - 10:40 ,True        ,False ,False ,False  ,University of Copenhagen                                         ,Denmark      ,Dust Evolution in Multiple Planet Formation Processes                                                                                                                                          , ,
Chao-Chin          ,Yang            ,2026-03-16  ,11:30 - 11:55 ,True        ,False ,False ,False  ,The University of Alabama                                        ,USA          ,Dust-gas dynamics in protoplanetary disks with Athena++                                                                                                                                        , ,
,,2026-03-16,10:00 - 10:15,False,,,,,,Opening,,
,,2026-03-16,12:10 - 14:00,False,,,,,,Lunch,,
,,2026-03-16,15:15 - 15:45,False,,,,,,Coffee Break,,
,,2026-03-16,16:45 - 18:00,False,,,,,,Discussion,,
,,2026-03-17,10:40 - 11:10,False,,,,,,Coffee Break,,
,,2026-03-17,12:25 - 14:00,False,,,,,,Lunch,,
,,2026-03-17,15:15 - 15:45,False,,,,,,Coffee Break,,
,,2026-03-17,16:45 - 18:00,False,,,,,,Discussion,,
,,2026-03-18,10:30 - 11:00,False,,,,,,Coffee Break,,
,,2026-03-18,12:25 - 14:00,False,,,,,,Lunch,,
,,2026-03-18,15:15 - 15:45,False,,,,,,Coffee Break,,
,,2026-03-18,16:45 - 18:00,False,,,,,,Discussion,,
,,2026-03-19,10:30 - 11:00,False,,,,,,Coffee Break,,
,,2026-03-19,12:25 - 14:00,False,,,,,,Lunch,,
,,2026-03-19,15:15 - 15:45,False,,,,,,Coffee Break,,
,,2026-03-19,16:45 - 18:00,False,,,,,,Discussion,,
,,2026-03-20,10:30 - 11:00,False,,,,,,Coffee Break,,
,,2026-03-20,12:25 - 14:00,False,,,,,,Lunch,,
,,2026-03-20,14:50,False,,,,,,End,,
